[ 2026-06-30 16:33:06,205 ] 19 root - INFO - Initiate the data ingestion
[ 2026-06-30 16:33:18,878 ] 65 root - INFO - Performed train test split on the dataframe
[ 2026-06-30 16:33:18,879 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-06-30 16:33:18,880 ] 75 root - INFO - Exporting train and test file path.
[ 2026-06-30 16:33:18,980 ] 84 root - INFO - Exported train and test file path.
[ 2026-06-30 16:33:18,981 ] 21 root - INFO - Data Initiation Completed
[ 2026-06-30 16:33:19,041 ] 25 root - INFO - Initiate the data Validation
[ 2026-06-30 16:33:19,210 ] 32 root - INFO - Required number of columns:2
[ 2026-06-30 16:33:19,210 ] 33 root - INFO - Data frame has columns:31
[ 2026-06-30 16:33:19,211 ] 32 root - INFO - Required number of columns:2
[ 2026-06-30 16:33:19,211 ] 33 root - INFO - Data frame has columns:31
[ 2026-06-30 16:33:19,458 ] 27 root - INFO - data Validation Completed
[ 2026-06-30 16:33:19,458 ] 30 root - INFO - data Transformation started
[ 2026-06-30 16:33:19,458 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2026-06-30 16:33:19,458 ] 65 root - INFO - Starting data transformation
[ 2026-06-30 16:33:19,489 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2026-06-30 16:33:19,489 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-06-30 16:33:19,507 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-06-30 16:33:19,512 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-06-30 16:33:19,513 ] 34 root - INFO - data Transformation completed
[ 2026-06-30 16:33:19,513 ] 36 root - INFO - Model Training sstared
