[ 2026-06-30 21:47:19,561 ] 19 root - INFO - Initiate the data ingestion
[ 2026-06-30 21:47:35,418 ] 65 root - INFO - Performed train test split on the dataframe
[ 2026-06-30 21:47:35,419 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-06-30 21:47:35,435 ] 75 root - INFO - Exporting train and test file path.
[ 2026-06-30 21:47:35,521 ] 84 root - INFO - Exported train and test file path.
[ 2026-06-30 21:47:35,522 ] 21 root - INFO - Data Initiation Completed
[ 2026-06-30 21:47:35,554 ] 25 root - INFO - Initiate the data Validation
[ 2026-06-30 21:47:35,877 ] 32 root - INFO - Required number of columns:2
[ 2026-06-30 21:47:35,878 ] 33 root - INFO - Data frame has columns:31
[ 2026-06-30 21:47:35,879 ] 32 root - INFO - Required number of columns:2
[ 2026-06-30 21:47:35,879 ] 33 root - INFO - Data frame has columns:31
[ 2026-06-30 21:47:36,132 ] 27 root - INFO - data Validation Completed
[ 2026-06-30 21:47:36,133 ] 30 root - INFO - data Transformation started
[ 2026-06-30 21:47:36,133 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2026-06-30 21:47:36,133 ] 65 root - INFO - Starting data transformation
[ 2026-06-30 21:47:36,175 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2026-06-30 21:47:36,175 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-06-30 21:47:36,200 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-06-30 21:47:36,229 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-06-30 21:47:36,233 ] 34 root - INFO - data Transformation completed
[ 2026-06-30 21:47:36,233 ] 36 root - INFO - Model Training sstared
