[ 2026-06-30 22:42:53,836 ] 19 root - INFO - Initiate the data ingestion
[ 2026-06-30 22:43:33,702 ] 65 root - INFO - Performed train test split on the dataframe
[ 2026-06-30 22:43:33,704 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-06-30 22:43:33,706 ] 75 root - INFO - Exporting train and test file path.
[ 2026-06-30 22:43:33,864 ] 84 root - INFO - Exported train and test file path.
[ 2026-06-30 22:43:33,865 ] 21 root - INFO - Data Initiation Completed
[ 2026-06-30 22:43:34,003 ] 25 root - INFO - Initiate the data Validation
[ 2026-06-30 22:43:34,194 ] 32 root - INFO - Required number of columns:2
[ 2026-06-30 22:43:34,194 ] 33 root - INFO - Data frame has columns:31
[ 2026-06-30 22:43:34,195 ] 32 root - INFO - Required number of columns:2
[ 2026-06-30 22:43:34,195 ] 33 root - INFO - Data frame has columns:31
[ 2026-06-30 22:43:34,719 ] 27 root - INFO - data Validation Completed
[ 2026-06-30 22:43:34,720 ] 30 root - INFO - data Transformation started
[ 2026-06-30 22:43:34,721 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2026-06-30 22:43:34,722 ] 65 root - INFO - Starting data transformation
[ 2026-06-30 22:43:34,783 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2026-06-30 22:43:34,785 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-06-30 22:43:34,821 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-06-30 22:43:34,828 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-06-30 22:43:34,830 ] 34 root - INFO - data Transformation completed
[ 2026-06-30 22:43:34,831 ] 36 root - INFO - Model Training sstared
