[ 2026-06-30 21:36:38,253 ] 19 root - INFO - Initiate the data ingestion
[ 2026-06-30 21:36:59,679 ] 65 root - INFO - Performed train test split on the dataframe
[ 2026-06-30 21:36:59,680 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-06-30 21:36:59,682 ] 75 root - INFO - Exporting train and test file path.
[ 2026-06-30 21:36:59,982 ] 84 root - INFO - Exported train and test file path.
[ 2026-06-30 21:36:59,985 ] 21 root - INFO - Data Initiation Completed
[ 2026-06-30 21:37:00,122 ] 25 root - INFO - Initiate the data Validation
[ 2026-06-30 21:37:00,661 ] 32 root - INFO - Required number of columns:2
[ 2026-06-30 21:37:00,662 ] 33 root - INFO - Data frame has columns:31
[ 2026-06-30 21:37:00,674 ] 32 root - INFO - Required number of columns:2
[ 2026-06-30 21:37:00,674 ] 33 root - INFO - Data frame has columns:31
[ 2026-06-30 21:37:01,481 ] 27 root - INFO - data Validation Completed
[ 2026-06-30 21:37:01,483 ] 30 root - INFO - data Transformation started
[ 2026-06-30 21:37:01,484 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2026-06-30 21:37:01,484 ] 65 root - INFO - Starting data transformation
[ 2026-06-30 21:37:01,589 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2026-06-30 21:37:01,589 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-06-30 21:37:01,621 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-06-30 21:37:01,632 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-06-30 21:37:01,637 ] 34 root - INFO - data Transformation completed
[ 2026-06-30 21:37:01,637 ] 36 root - INFO - Model Training sstared
