[ 2026-06-30 22:07:42,449 ] 19 root - INFO - Initiate the data ingestion
[ 2026-06-30 22:08:05,930 ] 65 root - INFO - Performed train test split on the dataframe
[ 2026-06-30 22:08:05,930 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-06-30 22:08:05,931 ] 75 root - INFO - Exporting train and test file path.
[ 2026-06-30 22:08:06,034 ] 84 root - INFO - Exported train and test file path.
[ 2026-06-30 22:08:06,036 ] 21 root - INFO - Data Initiation Completed
[ 2026-06-30 22:08:06,060 ] 25 root - INFO - Initiate the data Validation
[ 2026-06-30 22:08:06,878 ] 32 root - INFO - Required number of columns:2
[ 2026-06-30 22:08:06,879 ] 33 root - INFO - Data frame has columns:31
[ 2026-06-30 22:08:06,880 ] 32 root - INFO - Required number of columns:2
[ 2026-06-30 22:08:06,880 ] 33 root - INFO - Data frame has columns:31
[ 2026-06-30 22:08:07,337 ] 27 root - INFO - data Validation Completed
[ 2026-06-30 22:08:07,338 ] 30 root - INFO - data Transformation started
[ 2026-06-30 22:08:07,338 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2026-06-30 22:08:07,338 ] 65 root - INFO - Starting data transformation
[ 2026-06-30 22:08:07,419 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2026-06-30 22:08:07,419 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-06-30 22:08:07,452 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-06-30 22:08:07,460 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-06-30 22:08:07,464 ] 34 root - INFO - data Transformation completed
[ 2026-06-30 22:08:07,464 ] 36 root - INFO - Model Training sstared
