[ 2026-07-01 15:29:33,798 ] 19 root - INFO - Initiate the data ingestion
[ 2026-07-01 15:29:45,377 ] 65 root - INFO - Performed train test split on the dataframe
[ 2026-07-01 15:29:45,377 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-07-01 15:29:45,378 ] 75 root - INFO - Exporting train and test file path.
[ 2026-07-01 15:29:45,438 ] 84 root - INFO - Exported train and test file path.
[ 2026-07-01 15:29:45,440 ] 21 root - INFO - Data Initiation Completed
[ 2026-07-01 15:29:45,484 ] 25 root - INFO - Initiate the data Validation
[ 2026-07-01 15:29:45,619 ] 32 root - INFO - Required number of columns:2
[ 2026-07-01 15:29:45,619 ] 33 root - INFO - Data frame has columns:31
[ 2026-07-01 15:29:45,619 ] 32 root - INFO - Required number of columns:2
[ 2026-07-01 15:29:45,619 ] 33 root - INFO - Data frame has columns:31
[ 2026-07-01 15:29:45,996 ] 27 root - INFO - data Validation Completed
[ 2026-07-01 15:29:45,996 ] 30 root - INFO - data Transformation started
[ 2026-07-01 15:29:45,997 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2026-07-01 15:29:45,997 ] 65 root - INFO - Starting data transformation
[ 2026-07-01 15:29:46,076 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2026-07-01 15:29:46,076 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-07-01 15:29:46,124 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-07-01 15:29:46,130 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-07-01 15:29:46,132 ] 34 root - INFO - data Transformation completed
[ 2026-07-01 15:29:46,132 ] 36 root - INFO - Model Training sstared
[ 2026-07-01 15:37:20,044 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-07-01 15:37:20,048 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-07-01 15:37:20,049 ] 150 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\07_01_2026_15_28_40\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9913538805818329, precision_score=0.9898435913061142, recall_score=0.9928687856560717), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9712918660287081, precision_score=0.9674344718030182, recall_score=0.9751801441152922))
[ 2026-07-01 15:37:20,057 ] 41 root - INFO - Model Training artifact created
